"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57573219";"16";"3141974";"";"";"18812";"45";"TÉCNICO";"";"Sala 'N'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"2T123";"1";"3";"REGULAR";"false";"2016/06/20 10:00:19.933000000";"false";"";"57";"CONSOLIDADA";"";"Presencial"
"57573220";"17";"1149517";"";"";"18812";"45";"TÉCNICO";"";"Sala 08";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"5T123";"1";"3";"REGULAR";"false";"2016/06/24 18:40:27.748000000";"false";"";"51";"CONSOLIDADA";"";"Presencial"
"57573221";"18";"1149517";"";"";"18812";"45";"TÉCNICO";"";"Sala 08";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"5T456";"2";"3";"REGULAR";"false";"2016/06/22 20:17:03.694000000";"false";"";"51";"CONSOLIDADA";"";"Presencial"
"57573222";"19";"3528135";"";"";"18812";"45";"TÉCNICO";"";"MINI AUDITÓRIO";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"2T123";"1";"3";"REGULAR";"false";"2016/06/23 10:42:51.646000000";"false";"";"42";"CONSOLIDADA";"";"Presencial"
"57573223";"20";"1355384";"";"";"18812";"45";"TÉCNICO";"";"Sala 'E'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"4T123";"2";"3";"REGULAR";"false";"2016/06/01 15:23:12.274000000";"false";"";"48";"CONSOLIDADA";"";"Presencial"
"57573224";"21";"1281061";"";"";"18812";"45";"TÉCNICO";"";"Sala 26";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"5T456";"3";"3";"REGULAR";"false";"2016/06/19 19:10:06.741000000";"false";"";"48";"CONSOLIDADA";"";"Presencial"
"57573225";"22";"1627429";"";"";"18812";"45";"TÉCNICO";"";"Sala 18";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"3T123";"2";"3";"REGULAR";"false";"2016/06/08 21:30:04.735000000";"false";"";"54";"CONSOLIDADA";"";"Presencial"
"57573227";"23";"2881572";"";"";"18812";"45";"TÉCNICO";"";"Sala 17";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"5T123";"1";"3";"REGULAR";"false";"2016/06/23 15:01:22.902000000";"false";"";"51";"CONSOLIDADA";"";"Presencial"
"57573228";"24";"2265109";"";"";"18812";"45";"TÉCNICO";"";"Sala 26";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"4T123";"";"3";"REGULAR";"false";"2016/06/22 16:09:31.478000000";"false";"";"57";"CONSOLIDADA";"";"Presencial"
"57573229";"25";"2265109";"";"";"18812";"45";"TÉCNICO";"";"Sala 26";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"4T456";"";"3";"REGULAR";"false";"2016/06/22 16:10:42.699000000";"false";"";"57";"CONSOLIDADA";"";"Presencial"
"57573230";"26";"1756394";"";"";"18812";"45";"TÉCNICO";"";"Sala 12";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"5T123";"1";"3";"REGULAR";"false";"2016/06/08 12:11:58.918000000";"false";"";"45";"CONSOLIDADA";"";"Presencial"
"57573231";"27";"1497808";"";"";"18812";"45";"TÉCNICO";"";"Sala 'M'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"4T123";"3";"3";"REGULAR";"false";"2016/06/24 19:55:04.177000000";"false";"";"57";"CONSOLIDADA";"";"Presencial"
"57573232";"28";"1497808";"";"";"18812";"45";"TÉCNICO";"";"Sala 'M'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"4T456";"0";"3";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57573233";"29";"2477622";"";"";"18812";"45";"TÉCNICO";"";"Sala 'T'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"4T123";"1";"3";"REGULAR";"false";"2016/06/23 15:43:16.228000000";"false";"";"54";"CONSOLIDADA";"";"Presencial"
"57573234";"30";"2246095";"";"";"18812";"45";"TÉCNICO";"";"Sala 14";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"3T456";"";"3";"REGULAR";"false";"2016/06/24 14:29:42.026000000";"false";"";"57";"CONSOLIDADA";"";"Presencial"
"57573235";"31";"1735107";"";"";"18812";"45";"TÉCNICO";"";"Sala 12";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"3T123";"0";"3";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57573236";"32";"1355384";"";"";"18812";"45";"TÉCNICO";"";"Sala 'E'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"5T456";"";"3";"REGULAR";"false";"2016/06/02 14:34:09.981000000";"false";"";"48";"CONSOLIDADA";"";"Presencial"
"57573237";"33";"3528135";"";"";"18812";"45";"TÉCNICO";"";"Sala ""A""";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"4T123";"2";"3";"REGULAR";"false";"2016/06/23 10:27:19.086000000";"false";"";"0";"CONSOLIDADA";"";"Presencial"
"57573238";"34";"347990";"";"";"18812";"45";"TÉCNICO";"";"Sala 'M'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"6M456";"1";"3";"REGULAR";"false";"2016/06/22 06:46:24.833000000";"false";"";"0";"CONSOLIDADA";"";"Presencial"
