codigo_componente,nome_componente
DPP0061,"ATORES SOCIAIS, DEMOCRACIA E PARTICIPAÇÃO"
DPP0062,AS AGÊNCIAS MULTILATERAIS
DPR3226,DIREITO CONSTITUCIONAL APLICADO I
DAN0001,ANTROPOLOGIA I
DCS0346,TEORIA POLITICA II
LEM5006,CONVERSAÇÃO EM LÍNGUA ALEMÃ
LET0194,LINGUISTICA I
HIS0040,HISTORIA ANTIGA I
HIS0015,HISTORIA DO BRASIL COLONIA
GEO0042,ELEMENTOS DE GEOLOGIA
FIL0501,ETICA
FIL0510,FILOSOFIA SOCIAL E POLITICA
FIL0611,HISTORIA DA FILOSOFIA III
FIL0103,LOGICA
LET0419,LEITURA E PRODUÇÃO DE TEXTO ARGUMENTATIVO
DAT0142,PSICOLOGIA DAS ARTES
MUS0407,MUSICA BRASILEIRA I
LEM2020,INGLÊS PARA FINS ACADÊMICOS I
DAT0159,HISTÓRIA DA ARTE NO BRASIL
FIL0619,IDEIAS FILOSÓFICAS CONTEMPORÂNEAS
DEF0068,ADMINISTRACAO E LEGISLACAO DA ED. FISICA E DOS ESPORTES
MUS3031,INTRODUCAO A ETNOMUSICOLOGIA
DCS0029,SOCIOLOGIA I
QUI0311,QUIMICA BASICA
MAT0311,MATEMATICA PARA ENGENHARIA I
ADM0071,ORÇAMENTO PÚBLICO
DEQ0331,CIENCIAS DO AMBIENTE
CIV1105,ECOLOGIA APLICADA À ENGENHARIA AMBIENTAL
DPU0051,ELEMENTOS DO DIREITO TRIBUTARIO
DEH0029,HISTORIA DA CULTURA
DIM0103,INTRODUCAO A INFORMATICA
DPU0099,INTRODUÇÃO AO DIREITO ADMINISTRATIVO
DGN0135,TECNICAS DE APRESENTAÇÃO
MUS2307,HARMONIA FUNCIONAL
PSI0987,FUNDAMENTOS DO TRABALHO EM GRUPO
LEM1002,METODOLOGIA DE ENSINO DE PORTUGUÊS COMO LÍNGUA ESTRANGEIRA II
ICE1013,NEUROCINEMA
FPE0666,POLÍTICA DE EDUCAÇÃO POPULAR E DE ADULTOS
ICE1005,SINALIZAÇÃO NEURONAL
ADM0055,FILOSOFIA E ÉTICA NAS ORGANIZAÇÕES
ICE1026,BASES NEURAIS DA COMUNICAÇÃO HUMANA
DPR3218,PRÁTICA DA ADVOCACIA PÚBLICA
ADM0079,EMPREENDEDORISMO
DPR3205,PRÁTICA DE JUIZADOS ESPECIAIS
DPR3209,PRÁTICA DE PROCEDIMENTOS CRIMINAIS
DPR3227,PRÁTICA DO DIREITO CONSTITUCIONAL APLICADO II
DPR3224,PRÁTICA DO DIREITO INTERTEMPORAL
BEZ0079,ELEMENTOS DE AGROECOLOGIA
DPU0050,ELEMENTOS DE DIREITO CONSTITUCIONAL E ADMINISTRATIVO
DPU0052,ARBITRAGEM E MEDIAÇÃO
DPU0046,"DIREITO AMBIENTAL E INDÚSTRIA DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS"
DPU0042,"FUNDAMENTOS DE PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS"
HIS0019,HISTORIA DO RIO GRANDE DO NORTE I
HIS0014,HISTORIA DA AMERICA II
LET0354,LINGUISTICA I
LET0128,LINGUA GREGA I
MUS2401,HISTÓRIA DA MÚSICA
NUT0087,BIOÉTICA E CIDADANIA
FIL0520,FILOSOFIA DA CULTURA
FIL0530,ANTROPOLOGIA FILOSOFICA
ADM0523,EMPREENDEDORISMO E PLANO DE NEGÓCIOS
DCS0244,TEORIA SOCIOLOGICA I
DGN0105,TEORIA DOS SIGNOS
DGN0110,LEGISLAÇÃO E PROPRIEDADE INTELECTUAL
ADM0065,RESPONSABILIDADE SOCIOAMBIENTAL
DEF0062,CONSCIENCIA CORPORAL
DEF0073,"MÍDIA, TECNOLOGIA E EDUCAÇÃO FÍSICA"
ADM0067,NOVAS TECNOLOGIAS NA GESTÃO PÚBLICA
DEH0060,SEMINARIO DE HISTORIA DO BRASIL III
ADM0524,CONSULTORIA EMPRESARIAL
DAT0132,FOTOGRAFIA
DAN0136,INTRODUÇÃO À ANTROPOLOGIA
LET0076,CULTURA E LITERATURA BRASILEIRA I
LET0262,PRODUÇÃO DE TEXTO I
PSI7033,INTRODUÇÃO AOS PROCESSOS PSICOSSOCIOLÓGICOS E DE  INTERAÇÃO SOCIAL
PSI3085,TEMAS EM POLITICAS SOCIAIS A PRATICAS DO PSICOLOGO NOS AMBITOS DO SUS E SUAS
ARQ0258,ARTE NO EXTREMO ORIENTE
ICE1019,NEUROETOLOGIA
PEC0671,COMUNICAÇÃO VISUAL
FPE0690,TRABALHO DE PESQUISA I
ICE1025,NEUROCIÊNCIA BÁSICA NO PROCESSO DE APRENDIZAGEM
PSI7013,HISTORIA DA PSICOLOGIA I
